smiles,node_id,num_expansions,rollout_num,score,Q_value,num_reactions,reaction_1_id,building_block_1_1_id,building_block_1_1_smiles,building_block_1_2_id,building_block_1_2_smiles,building_block_1_3_id,building_block_1_3_smiles
COCC(NC(=O)CCCc1ncc(C)o1)C(=O)N(C)C,121620,1,13594,0.7090845959595959,0.7090845959595959,1,22,19669288,COCC(N)C(=O)N(C)C,10786090,Cc1cnc(CCCC(=O)O)o1,,
COC1(C(=O)NCc2c(SC)cnn2C)CC(NC(=O)OC(C)(C)C)C1,98744,1,3242,0.7090828704628704,0.7090828704628704,1,240690,26766956,CSc1cnn(C)c1CN,24366574,COC1(C(=O)O)CC(NC(=O)OC(C)(C)C)C1,,
COCCC(C)(C)C(=O)OCCCc1cnn(C)c1,109967,1,8332,0.7090825396825396,0.7090825396825396,1,1458,5120761,COCCC(C)(C)C(=O)O,1423118,Cn1cc(CCCBr)cn1,,
CCc1nc(C)c(CNC(=O)NC(CC)C(C)O)o1,102605,1,4983,0.7090802287084896,0.7090802287084896,1,2708,19269499,CCc1nc(C)c(CN)o1,3272137,CCC(N)C(C)O,,
CCOc1ccc([C@@H]2C[C@H]2NC(=O)C(=O)NCc2ccc(C#N)cc2)cc1,96139,0,2089,0.7090770600744285,0.0,1,271948,2121477,N#Cc1ccc(CN)cc1,17615590,CCOc1ccc([C@@H]2C[C@H]2N)cc1,,
CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1[C@H](C(=O)N1CCC3(C)C(C1)C3(Cl)Cl)C2,118073,1,11983,0.7090746776615197,0.7090746776615197,1,22,17656695,CC12CCNCC1C2(Cl)Cl,26401478,CC(C)(C)OC(=O)N1[C@@H]2CC[C@H]1[C@H](C(=O)O)C2,,
Cc1ccc2c(c1)N(Cc1ncc(C)o1)CC2,92832,1,616,0.7090711251167133,0.7090711251167133,1,2230,2049782,Cc1ccc2c(c1)NCC2,3527252,Cc1cnc(CCl)o1,,
C=C(C)CNC(=O)NC1CCc2cnn(C)c2C1,122258,1,13886,0.7090665057165058,0.7090665057165058,1,2708,14055213,Cn1ncc2c1CC(N)CC2,192877,C=C(C)CN,,
Cn1ncc(S(C)(=O)=O)c1CNC(=O)NC12CC(CO)(C1)OC21CN(C(=O)OC(C)(C)C)C1,97626,1,2747,0.7090613191724445,0.7090613191724445,1,2708,26310004,CC(C)(C)OC(=O)N1CC2(C1)OC1(CO)CC2(N)C1,26621338,Cn1ncc(S(C)(=O)=O)c1CN,,
CCCC(CNC(=O)NC(=O)C1CCN(C(=O)C2CCNCC2)CC1)OCC,96711,0,2340,0.7090568749963487,0.0,1,2708,3280320,CCCC(CN)OCC,184354,NC(=O)C1CCN(C(=O)C2CCNCC2)CC1,,
Cc1ccc2c(c1)C(C(=O)NCC1(C3CC3)OCCO1)C2,108651,1,7732,0.7090535270285269,0.7090535270285269,1,22,27228068,NCC1(C2CC2)OCCO1,24295416,Cc1ccc2c(c1)C(C(=O)O)C2,,
CC(C)Oc1ccc(CN2CC3=C(C2)CN(C(=O)OC(C)(C)C)C3)cc1,106729,1,6852,0.709051201739437,0.709051201739437,1,2230,2025414,CC(C)(C)OC(=O)N1CC2=C(CNC2)C1,3696792,CC(C)Oc1ccc(CCl)cc1,,
C=C(C)CN(C(=O)C1(Cc2ccccc2)CC(=O)C1)c1ccc(Cl)cc1,121403,1,13493,0.7090358391608391,0.7090358391608391,1,22,3776937,C=C(C)CNc1ccc(Cl)cc1,11425353,O=C1CC(Cc2ccccc2)(C(=O)O)C1,,
COCC1(O)CN(C(=O)C(CCC(C)=O)NC(=O)OC(C)(C)C)C1,101971,1,4695,0.7090345598845599,0.7090345598845599,1,22,22091830,COCC1(O)CNC1,11483685,CC(=O)CCC(NC(=O)OC(C)(C)C)C(=O)O,,
CC(C)(C)OC(=O)NCCCc1cc(C(=O)N2Cc3ccc(NC(=O)C(F)(F)F)cc3C2)no1,134542,1,19421,0.7090335775335775,0.7090335775335775,1,22,22961160,O=C(Nc1ccc2c(c1)CNC2)C(F)(F)F,26628786,CC(C)(C)OC(=O)NCCCc1cc(C(=O)O)no1,,
CC(C)(C)n1ncnc1CNC(=O)N[C@@H](CO)C(C(F)(F)F)C(F)(F)F,119106,1,12449,0.7090287445887447,0.7090287445887447,1,2708,17576647,CC(C)(C)n1ncnc1CN,27217410,N[C@@H](CO)C(C(F)(F)F)C(F)(F)F,,
